,court_short_name,court_full_name,court_jurisdiction,jurisdiction
0,Supreme Court of Iowa,Supreme Court of Iowa,S,"Iowa, IA"
1,Second Circuit,Court of Appeals for the Second Circuit,F,"USA, Federal"
2,Sixth Circuit,Court of Appeals for the Sixth Circuit,F,"USA, Federal"
3,Seventh Circuit,Court of Appeals for the Seventh Circuit,F,"USA, Federal"
4,Court of Appeals of Kansas,Court of Appeals of Kansas,SA,"Kansas, KS"
5,Fourth Circuit,Court of Appeals for the Fourth Circuit,F,"USA, Federal"
6,Ninth Circuit,Court of Appeals for the Ninth Circuit,F,"USA, Federal"
7,Third Circuit,Court of Appeals for the Third Circuit,F,"USA, Federal"
8,Court of Appeals of Kentucky,Court of Appeals of Kentucky,SA,"Kentucky, KY"
9,Supreme Court of Louisiana,Supreme Court of Louisiana,S,"Louisiana, LA"
10,Louisiana Court of Appeal,Louisiana Court of Appeal,SA,"Louisiana, LA"
11,Tenth Circuit,Court of Appeals for the Tenth Circuit,F,"USA, Federal"
12,Federal Circuit,Court of Appeals for the Federal Circuit,F,"USA, Federal"
13,D.C. Circuit,Court of Appeals for the D.C. Circuit,F,"USA, Federal"
14,District of Columbia,"District Court, District of Columbia",FD,"USA, Federal"
15,Federal Claims,United States Court of Federal Claims,FS,"USA, Federal"
16,W.D. Pennsylvania,"District Court, W.D. Pennsylvania",FD,"Pennsylvania, PA"
17,D. Massachusetts,"District Court, D. Massachusetts",FD,"Massachusetts, MA"
18,W.D. Louisiana,"District Court, W.D. Louisiana",FD,"Louisiana, LA"
19,W.D. New York,"District Court, W.D. New York",FD,"New York, NY"
20,S.D. New York,"District Court, S.D. New York",FD,"New York, NY"
21,D. Maine,"District Court, D. Maine",FD,"Maine, ME"
22,M.D. Pennsylvania,"District Court, M.D. Pennsylvania",FD,"Pennsylvania, PA"
23,N.D. Oklahoma,"District Court, N.D. Oklahoma",FD,"Oklahoma, OK"
24,E.D. New York,"District Court, E.D. New York",FD,"New York, NY"
25,N.D. California,"District Court, N.D. California",FD,"California, CA"
26,W.D. Washington,"District Court, W.D. Washington",FD,"Washington, WA"
27,D. Idaho,"District Court, D. Idaho",FD,"Idaho, ID"
28,D. New Jersey,"District Court, D. New Jersey",FD,"New Jersey, NJ"
29,D. Minnesota,"District Court, D. Minnesota",FD,"Minnesota, MN"
30,D. Delaware,"District Court, D. Delaware",FD,"Delaware, DE"
31,S.D. West Virginia,"District Court, S.D. West Virginia",FD,"West Virginia, WV"
32,M.D. Tennessee,"District Court, M.D. Tennessee",FD,"Tennessee, TN"
33,N.D. Illinois,"District Court, N.D. Illinois",FD,"Illinois, IL"
34,D. Puerto Rico,"District Court, D. Puerto Rico",FD,"Puerto Rico, PR"
35,E.D. Michigan,"District Court, E.D. Michigan",FD,"Michigan, MI"
36,S.D. Texas,"District Court, S.D. Texas",FD,"Texas, TX"
37,D. New Mexico,"District Court, D. New Mexico",FD,"New Mexico, NM"
38,N.D. Mississippi,"District Court, N.D. Mississippi",FD,"Mississippi, MS"
39,S.D. Florida,"District Court, S.D. Florida",FD,"Florida, FL"
40,D. Oregon,"District Court, D. Oregon",FD,"Oregon, OR"
41,W.D. Kentucky,"District Court, W.D. Kentucky",FD,"Kentucky, KY"
42,W.D. Missouri,"District Court, W.D. Missouri",FD,"Missouri, MO"
43,W.D. North Carolina,"District Court, W.D. North Carolina",FD,"North Carolina, NC"
44,E.D. Pennsylvania,"District Court, E.D. Pennsylvania",FD,"Pennsylvania, PA"
45,S.D. Ohio,"District Court, S.D. Ohio",FD,"Ohio, OH"
46,S.D. Mississippi,"District Court, S.D. Mississippi",FD,"Mississippi, MS"
47,W.D. Tennessee,"District Court, W.D. Tennessee",FD,"Tennessee, TN"
48,D. Maryland,"District Court, D. Maryland",FD,"Maryland, MD"
49,D. Nevada,"District Court, D. Nevada",FD,"Nevada, NV"
50,E.D. Virginia,"District Court, E.D. Virginia",FD,"Virginia, VA"
51,E.D. Arkansas,"District Court, E.D. Arkansas",FD,"Arkansas, AR"
52,D. Connecticut,"District Court, D. Connecticut",FD,"Connecticut, CT"
53,E.D. California,"District Court, E.D. California",FD,"California, CA"
54,Judicial Panel on Multidistrict Litigation,United States Judicial Panel on Multidistrict Litigation,FS,"USA, Federal"
55,S.D. Alabama,"District Court, S.D. Alabama",FD,"Alabama, AL"
56,N.D. New York,"District Court, N.D. New York",FD,"New York, NY"
57,C.D. California,"District Court, C.D. California",FD,"California, CA"
58,D. Nebraska,"District Court, D. Nebraska",FD,"Nebraska, NE"
59,M.D. Florida,"District Court, M.D. Florida",FD,"USA, Federal"
60,D. Montana,"District Court, D. Montana",FD,"Montana, MT"
61,D. Vermont,"District Court, D. Vermont",FD,"Vermont, VT"
62,N.D. Georgia,"District Court, N.D. Georgia",FD,"Georgia, GA"
63,E.D. Kentucky,"District Court, E.D. Kentucky",FD,"Kentucky, KY"
64,E.D. Wisconsin,"District Court, E.D. Wisconsin",FD,"Wisconsin, WI"
65,N.D. Indiana,"District Court, N.D. Indiana",FD,"Indiana, IN"
66,W.D. Arkansas,"District Court, W.D. Arkansas",FD,"Arkansas, AR"
67,E.D. Louisiana,"District Court, E.D. Louisiana",FD,"Louisiana, LA"
68,S.D. Illinois,"District Court, S.D. Illinois",FD,"Illinois, IL"
69,W.D. Virginia,"District Court, W.D. Virginia",FD,"Virginia, VA"
70,D. Colorado,"District Court, D. Colorado",FD,"Colorado, CO"
71,W.D. Wisconsin,"District Court, W.D. Wisconsin",FD,"Wisconsin, WI"
72,W.D. Texas,"District Court, W.D. Texas",FD,"Texas, TX"
73,E.D. Missouri,"District Court, E.D. Missouri",FD,"Missouri, MO"
74,E.D. North Carolina,"District Court, E.D. North Carolina",FD,"North Carolina, NC"
75,D. Utah,"District Court, D. Utah",FD,"Utah, UT"
76,U.S. District Court,United States District Court,FD,"USA, Federal"
77,N.D. Ohio,"District Court, N.D. Ohio",FD,"Ohio, OH"
78,S.D. Georgia,"District Court, S.D. Georgia",FD,"Georgia, GA"
79,N.D. Texas,"District Court, N.D. Texas",FD,"Texas, TX"
80,Supreme Court,Supreme Court of the United States,F,"USA, Federal"
81,Court of Appeals for the Armed Forces,Court of Appeals for the Armed Forces,FS,"USA, Federal"
82,Air Force Court of Criminal Appeals,United States Air Force Court of Criminal Appeals,FS,"USA, Federal"
83,Army Court of Criminal Appeals,Army Court of Criminal Appeals,FS,"USA, Federal"
84,Northern Mariana Islands,"District Court, Northern Mariana Islands",FD,"USA, Federal"
85,Eleventh Circuit,Court of Appeals for the Eleventh Circuit,F,"USA, Federal"
86,District of Columbia Court of Appeals,District of Columbia Court of Appeals,S,"District of Columbia, DC"
87,Supreme Court of New Jersey,Supreme Court of New Jersey,S,"New Jersey, NJ"
88,Tennessee Supreme Court,Tennessee Supreme Court,S,"Tennessee, TN"
89,New York Court of Chancery,New York Court of Chancery,S,"New York, NY"
90,New Jersey Superior Court App Div.,New Jersey Superior Court Appellate Division,SA,"New Jersey, NJ"
91,Appellate Division of the Supreme Court of New York,Appellate Division of the Supreme Court of the State of New York,SA,"New York, NY"
92,Appellate Terms of the Supreme Court of New York,Appellate Terms of the Supreme Court of New York,SA,"New York, NY"
93,City of New York Municipal Court,City of New York Municipal Court,ST,"New York, NY"
94,New York Supreme Court,New York Supreme Court,ST,"New York, NY"
95,The Superior Court of New York City,The Superior Court of New York City,ST,"New York, NY"
96,Appellate Division of the Superior Court of California,Appellate Division of the Superior Court of California,SA,"California, CA"
97,Superior Court of Pennsylvania,Superior Court of Pennsylvania,SA,"Pennsylvania, PA"
98,Supreme Court of Alabama,Supreme Court of Alabama,S,"Alabama, AL"
99,Massachusetts Supreme Judicial Court,Massachusetts Supreme Judicial Court,S,"Massachusetts, MA"
100,Connecticut Superior Court,Connecticut Superior Court,SA,"Connecticut, CT"
101,Court of Appeals of Mississippi,Court of Appeals of Mississippi,SA,"Mississippi, MS"
102,Mississippi Supreme Court,Mississippi Supreme Court,S,"Mississippi, MS"
103,Supreme Court of Virginia,Supreme Court of Virginia,S,"Virginia, VA"
104,Supreme Court of North Carolina,Supreme Court of North Carolina,S,"North Carolina, NC"
105,Superior Court of North Carolina,Superior Court of North Carolina,SA,"North Carolina, NC"
106,Pennsylvania Court of Common Pleas,Pennsylvania Court of Common Pleas,ST,"Pennsylvania, PA"
107,Court of Appeals of South Carolina,Court of Appeals of South Carolina,SA,"South Carolina, SC"
108,Court of Appeals of North Carolina,Court of Appeals of North Carolina,SA,"North Carolina, NC"
109,Court of Appeals of Georgia,Court of Appeals of Georgia,SA,"Georgia, GA"
110,Supreme Court of Georgia,Supreme Court of Georgia,S,"Georgia, GA"
111,Supreme Court of Pennsylvania,Supreme Court of Pennsylvania,S,"Pennsylvania, PA"
112,Indiana Supreme Court,Indiana Supreme Court,S,"Indiana, IN"
113,Supreme Court of Florida,Supreme Court of Florida,S,"Florida, FL"
114,District Court of Appeal of Florida,District Court of Appeal of Florida,SA,"Florida, FL"
115,Court of Criminal Appeals of Alabama,Court of Criminal Appeals of Alabama,SA,"Alabama, AL"
116,Court of Civil Appeals of Alabama,Court of Civil Appeals of Alabama,SA,"Alabama, AL"
117,Nebraska Supreme Court,Nebraska Supreme Court,S,"Nebraska, NE"
118,Court of Appeals of Virginia,Court of Appeals of Virginia,SA,"Virginia, VA"
119,General Court of Virginia,General Court of Virginia,SS,"Virginia, VA"
120,Ohio Court of Claims,Ohio Court of Claims,SS,"Ohio, OH"
121,Michigan Supreme Court,Michigan Supreme Court,S,"Michigan, MI"
122,Court of Appeals of Texas,Court of Appeals of Texas,SA,"Texas, TX"
123,Ohio Court of Appeals,Ohio Court of Appeals,SA,"Ohio, OH"
124,First Circuit,Court of Appeals for the First Circuit,F,"USA, Federal"
125,Nevada Supreme Court,Nevada Supreme Court,S,"Nevada, NV"
126,Supreme Court of South Carolina,Supreme Court of South Carolina,S,"South Carolina, SC"
127,West Virginia Supreme Court,West Virginia Supreme Court,S,"West Virginia, WV"
128,Supreme Court of Kansas,Supreme Court of Kansas,S,"Kansas, KS"
129,Supreme Court of Delaware,Supreme Court of Delaware,S,"Delaware, DE"
130,Supreme Court of Arkansas,Supreme Court of Arkansas,S,"Arkansas, AR"
131,Court of Appeals of Arkansas,Court of Appeals of Arkansas,SA,"Arkansas, AR"
132,Supreme Court of Colorado,Supreme Court of Colorado,S,"Colorado, CO"
133,Colorado Court of Appeals,Colorado Court of Appeals,SA,"Colorado, CO"
134,Supreme Court of Connecticut,Supreme Court of Connecticut,S,"Connecticut, CT"
135,Connecticut Appellate Court,Connecticut Appellate Court,SA,"Connecticut, CT"
136,Indiana Tax Court,Indiana Tax Court,SS,"Indiana, IN"
137,Supreme Court of Minnesota,Supreme Court of Minnesota,S,"Minnesota, MN"
138,North Dakota Supreme Court,North Dakota Supreme Court,S,"North Dakota, ND"
139,South Dakota Supreme Court,South Dakota Supreme Court,S,"South Dakota, SD"
140,Court of Appeals of Iowa,Court of Appeals of Iowa,SA,"Iowa, IA"
141,Delaware Orphan's Court,Orphan's Court of Delaware,SA,"Delaware, DE"
142,Court of Appeals of Minnesota,Court of Appeals of Minnesota,SA,"Minnesota, MN"
143,Court of Appeals of Maryland,Court of Appeals of Maryland,S,"Maryland, MD"
